NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
-,2,1,  30.2%,  0.20%
-,2,2,  44.6%,  0.24%
-,2,3,  18.5%,  0.22%
-,2,4,   5.0%,  0.16%
-,2,5,   1.7%,  0.05%
-,3,1,   6.2%,  0.16%
-,3,2,   2.5%,  0.11%
-,3,3,   3.6%,  0.11%
-,3,4,  10.2%,  0.44%
-,3,5,  19.5%,  0.22%
-,3,6,  19.1%,  0.30%
-,3,7,   9.8%,  0.20%
-,3,8,  12.0%,  0.24%
-,3,9,   9.9%,  0.22%
-,3,10,   7.3%,  0.12%
-,4,1,   8.4%,  0.23%
-,4,2,  29.9%,  0.42%
-,4,3,  61.7%,  0.38%
-,5,1,   0.9%,  0.07%
-,5,2,   1.8%,  0.08%
-,5,3,   1.4%,  0.05%
-,5,4,  95.9%,  0.10%
-,6,1,   6.2%,  0.22%
-,6,2,   9.6%,  0.17%
-,6,3,  84.3%,  0.29%
-,7,1,   4.2%,  0.14%
-,7,2,  40.1%,  0.31%
-,7,3,  55.6%,  0.32%
-,8,1,   6.6%,  0.15%
-,8,2,  14.5%,  0.30%
-,8,3,  78.9%,  0.31%
-,9,1,   2.6%,  0.10%
-,9,2,   3.0%,  0.17%
-,9,3,  40.7%,  0.32%
-,9,4,  53.8%,  0.27%
-,10,1,  27.6%,  0.16%
-,10,2,   9.0%,  0.16%
-,10,3,  11.5%,  0.27%
-,10,4,   3.4%,  0.13%
-,10,5,   8.5%,  0.19%
-,10,6,  16.6%,  0.21%
-,10,7,  64.4%,  0.22%
-,11,1,   7.2%,  0.18%
-,11,2,  10.9%,  0.14%
-,11,3,   2.6%,  0.11%
-,11,4,   9.4%,  0.22%
-,11,5,  18.5%,  0.35%
-,11,6,   5.9%,  0.18%
-,11,7,  12.6%,  0.24%
-,11,8,  62.5%,  0.34%
-,12,1,   1.4%,  0.08%
-,12,2,   6.5%,  0.17%
-,12,3,  41.4%,  0.31%
-,12,4,  33.3%,  0.35%
-,12,5,  17.4%,  0.27%
-,13,1,   5.2%,  0.16%
-,13,2,   8.7%,  0.22%
-,13,3,  14.6%,  0.17%
-,13,4,  26.3%,  0.28%
-,13,5,  26.9%,  0.31%
-,13,6,   3.9%,  0.10%
-,13,7,  14.5%,  0.21%
-,14,1,   3.0%,  0.11%
-,14,2,  97.0%,  0.11%
-,15,1,   9.8%,  0.16%
-,15,2,  90.2%,  0.16%
-,16,1,  73.6%,  0.45%
-,16,2,  24.7%,  0.39%
-,16,3,  14.2%,  0.21%
-,16,4,   0.8%,  0.06%
-,16,5,   1.3%,  0.09%
-,16,6,   3.3%,  0.15%
-,16,7,   0.5%,  0.03%
-,16,8,   1.9%,  0.09%
-,16,9,   6.5%,  0.14%
-,16,10,   6.0%,  0.17%
-,16,11,  11.1%,  0.40%
-,16,12,   3.7%,  0.13%
-,16,13,   3.2%,  0.09%
-,16,14,  19.5%,  0.35%
-,17,1,  72.4%,  0.47%
-,17,2,  21.3%,  0.41%
-,17,3,   8.9%,  0.20%
-,17,4,   0.3%,  0.04%
-,17,5,   1.1%,  0.09%
-,17,6,   3.1%,  0.11%
-,17,7,   0.4%,  0.03%
-,17,8,   2.5%,  0.11%
-,17,9,  23.3%,  0.39%
-,18,1,  24.3%,  0.25%
-,18,2,  30.4%,  0.44%
-,18,3,  45.4%,  0.43%
-,19,1,  23.3%,  0.31%
-,19,2,  12.6%,  0.27%
-,19,3,  13.1%,  0.39%
-,19,4,  32.0%,  0.40%
-,19,5,  14.5%,  0.22%
-,19,6,  22.7%,  0.29%
-,19,7,   4.8%,  0.09%
-,19,8,  37.2%,  0.34%
-,20,1,   0.7%,  0.07%
-,20,2,   3.7%,  0.14%
-,20,3,  13.7%,  0.41%
-,20,4,  44.7%,  0.48%
-,20,5,   7.3%,  0.24%
-,20,6,   1.6%,  0.09%
-,20,7,  16.8%,  0.22%
-,20,8,  11.7%,  0.26%
21 ,2,1,  43.9%,  4.27%
21 ,2,2,  39.1%,  2.69%
21 ,2,3,  14.6%,  2.67%
21 ,2,4,   2.5%,  1.04%
21 ,3,1,   8.6%,  2.59%
21 ,3,3,   3.4%,  1.30%
21 ,3,4,  10.1%,  3.35%
21 ,3,5,  21.5%,  3.06%
21 ,3,6,  13.6%,  1.57%
21 ,3,7,   8.8%,  2.94%
21 ,3,8,  16.7%,  2.80%
21 ,3,9,  10.1%,  1.99%
21 ,3,10,   6.8%,  1.81%
21 ,4,1,   6.3%,  1.56%
21 ,4,2,  31.6%,  2.84%
21 ,4,3,  62.0%,  3.16%
21 ,5,2,   1.6%,  0.82%
21 ,5,3,   3.1%,  1.49%
21 ,5,4,  94.9%,  1.16%
21 ,6,1,   4.1%,  1.55%
21 ,6,2,  14.6%,  3.18%
21 ,6,3,  81.3%,  3.39%
21 ,7,1,   1.4%,  0.72%
21 ,7,2,  44.7%,  4.00%
21 ,7,3,  53.9%,  4.01%
21 ,8,1,   3.4%,  1.28%
21 ,8,2,  20.2%,  3.56%
21 ,8,3,  76.4%,  3.20%
21 ,9,2,   2.6%,  1.42%
21 ,9,3,  33.1%,  2.94%
21 ,9,4,  62.9%,  3.50%
21 ,10,1,  13.2%,  2.69%
21 ,10,2,   3.4%,  1.23%
21 ,10,3,   7.1%,  1.37%
21 ,10,4,   1.8%,  1.20%
21 ,10,5,   7.7%,  2.26%
21 ,10,6,   7.2%,  1.50%
21 ,10,7,  80.7%,  3.10%
21 ,11,1,   8.3%,  1.16%
21 ,11,2,   8.6%,  1.93%
21 ,11,3,   2.4%,  1.10%
21 ,11,4,   6.6%,  2.23%
21 ,11,5,   9.7%,  2.27%
21 ,11,6,   2.6%,  1.44%
21 ,11,7,   7.8%,  1.54%
21 ,11,8,  76.6%,  2.64%
21 ,12,1,   1.7%,  0.91%
21 ,12,2,   2.3%,  1.13%
21 ,12,3,  35.9%,  3.86%
21 ,12,4,  27.8%,  2.87%
21 ,12,5,  32.2%,  4.08%
21 ,13,1,   6.9%,  1.66%
21 ,13,2,   6.2%,  2.08%
21 ,13,3,  16.1%,  2.76%
21 ,13,4,  23.4%,  1.83%
21 ,13,5,  26.8%,  3.25%
21 ,13,6,   5.7%,  1.52%
21 ,13,7,  15.0%,  2.41%
21 ,14,1,   2.6%,  0.96%
21 ,14,2,  97.4%,  0.96%
21 ,15,1,   7.0%,  1.67%
21 ,15,2,  93.0%,  1.67%
21 ,16,1,  72.5%,  5.42%
21 ,16,2,  14.4%,  3.35%
21 ,16,3,   8.7%,  2.48%
21 ,16,4,   2.3%,  1.31%
21 ,16,5,   2.6%,  1.38%
21 ,16,6,   3.5%,  1.31%
21 ,16,9,   6.1%,  1.94%
21 ,16,10,   9.6%,  2.38%
21 ,16,11,  10.0%,  2.69%
21 ,16,12,   3.9%,  1.44%
21 ,16,13,   3.3%,  1.98%
21 ,16,14,  24.2%,  3.82%
21 ,17,1,  72.5%,  4.89%
21 ,17,2,   9.5%,  2.52%
21 ,17,3,   4.3%,  1.79%
21 ,17,5,   3.0%,  1.60%
21 ,17,6,   2.6%,  1.11%
21 ,17,9,  26.3%,  5.08%
21 ,18,1,   7.0%,  2.10%
21 ,18,2,  16.8%,  3.32%
21 ,18,3,  76.2%,  4.50%
21 ,19,1,  31.1%,  1.61%
21 ,19,2,   6.6%,  1.50%
21 ,19,3,   4.9%,  1.58%
21 ,19,4,  19.0%,  3.39%
21 ,19,5,   5.2%,  2.21%
21 ,19,6,  19.4%,  2.60%
21 ,19,7,   7.0%,  1.02%
21 ,19,8,  45.7%,  3.07%
21 ,20,2,   2.2%,  1.73%
21 ,20,3,   7.1%,  1.22%
